id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Sahara Sun,world,calm,0.45,95,0.62,0.55,0.80
12,Neon Nights,Pixel Rush,electronic,energetic,0.88,128,0.74,0.90,0.12
13,Heavy Skies,Iron Vale,metal,intense,0.95,160,0.40,0.50,0.05
14,Soft Horizons,Luna Waves,dream pop,peaceful,0.38,85,0.78,0.65,0.70
15,Street Rhythm,Beat Collective,hip-hop,confident,0.80,100,0.68,0.85,0.20
16,Golden Hour Drive,Sunset Kids,indie,nostalgic,0.60,105,0.82,0.72,0.40
17,Ocean Breathing,Blue Current,ambient,meditative,0.25,55,0.70,0.30,0.95
18,Festival Lights,Electra Pop,dance,euphoric,0.92,130,0.88,0.95,0.08